Mode,Floor / DOF,Height h [m],phi,mass,sn = Gamma*m*phi,u_coeff = Gamma*phi/omega^2,Vb_coeff = sum(sn),Mb_coeff = sum(sn*h)
1,1,3.000000e+00,9.911434e-02,1.000000e+05,1.294610e+04,5.846633e-03,8.129568e+05,1.673475e+07
1,2,6.000000e+00,2.329984e-01,1.000000e+05,3.043373e+04,1.374429e-02,8.129568e+05,1.673475e+07
1,3,9.000000e+00,3.673220e-01,1.000000e+05,4.797878e+04,2.166787e-02,8.129568e+05,1.673475e+07
1,4,1.200000e+01,4.967281e-01,1.000000e+05,6.488152e+04,2.930138e-02,8.129568e+05,1.673475e+07
1,5,1.500000e+01,6.177107e-01,1.000000e+05,8.068399e+04,3.643799e-02,8.129568e+05,1.673475e+07
1,6,1.800000e+01,7.271465e-01,1.000000e+05,9.497826e+04,4.289348e-02,8.129568e+05,1.673475e+07
1,7,2.100000e+01,8.222309e-01,1.000000e+05,1.073980e+05,4.850239e-02,8.129568e+05,1.673475e+07
1,8,2.400000e+01,9.005472e-01,1.000000e+05,1.176275e+05,5.312217e-02,8.129568e+05,1.673475e+07
1,9,2.700000e+01,9.601386e-01,1.000000e+05,1.254112e+05,5.663739e-02,8.129568e+05,1.673475e+07
1,10,3.000000e+01,1.000000e+00,1.000000e+05,1.306178e+05,5.898877e-02,8.129568e+05,1.673475e+07
2,1,3.000000e+00,-3.348962e-01,1.000000e+05,1.519413e+04,7.367756e-04,1.080303e+05,-3.856018e+05
2,2,6.000000e+00,-7.135076e-01,1.000000e+05,3.237159e+04,1.569725e-03,1.080303e+05,-3.856018e+05
2,3,9.000000e+00,-9.547638e-01,1.000000e+05,4.331730e+04,2.100492e-03,1.080303e+05,-3.856018e+05
2,4,1.200000e+01,-1.004795e+00,1.000000e+05,4.558720e+04,2.210561e-03,1.080303e+05,-3.856018e+05
2,5,1.500000e+01,-8.531051e-01,1.000000e+05,3.870508e+04,1.876841e-03,1.080303e+05,-3.856018e+05
2,6,1.800000e+01,-5.294028e-01,1.000000e+05,2.401882e+04,1.164692e-03,1.080303e+05,-3.856018e+05
2,7,2.100000e+01,-9.727099e-02,1.000000e+05,4.413151e+03,2.139973e-04,1.080303e+05,-3.856018e+05
2,8,2.400000e+01,3.584000e-01,1.000000e+05,-1.626048e+04,-7.884842e-04,1.080303e+05,-3.856018e+05
2,9,2.700000e+01,7.482289e-01,1.000000e+05,-3.394688e+04,-1.646112e-03,1.080303e+05,-3.856018e+05
2,10,3.000000e+01,1.000000e+00,1.000000e+05,-4.536965e+04,-2.200012e-03,1.080303e+05,-3.856018e+05
3,1,3.000000e+00,5.916695e-01,1.000000e+05,1.432158e+04,2.296752e-04,3.516711e+04,1.386587e+05
3,2,6.000000e+00,1.055362e+00,1.000000e+05,2.554541e+04,4.096719e-04,3.516711e+04,1.386587e+05
3,3,9.000000e+00,9.510082e-01,1.000000e+05,2.301950e+04,3.691639e-04,3.516711e+04,1.386587e+05
3,4,1.200000e+01,3.261479e-01,1.000000e+05,7.894530e+03,1.266046e-04,3.516711e+04,1.386587e+05
3,5,1.500000e+01,-4.746115e-01,1.000000e+05,-1.148814e+04,-1.842355e-04,3.516711e+04,1.386587e+05
3,6,1.800000e+01,-1.008612e+00,1.000000e+05,-2.441383e+04,-3.915247e-04,3.516711e+04,1.386587e+05
3,7,2.100000e+01,-9.806036e-01,1.000000e+05,-2.373587e+04,-3.806523e-04,3.516711e+04,1.386587e+05
3,8,2.400000e+01,-4.058827e-01,1.000000e+05,-9.824539e+03,-1.575562e-04,3.516711e+04,1.386587e+05
3,9,2.700000e+01,3.983873e-01,1.000000e+05,9.643109e+03,1.546466e-04,3.516711e+04,1.386587e+05
3,10,3.000000e+01,1.000000e+00,1.000000e+05,2.420536e+04,3.881816e-04,3.516711e+04,1.386587e+05
4,1,3.000000e+00,-8.655212e-01,1.000000e+05,1.379280e+04,1.091886e-04,1.805680e+04,-1.910699e+04
4,2,6.000000e+00,-1.114999e+00,1.000000e+05,1.776844e+04,1.406611e-04,1.805680e+04,-1.910699e+04
4,3,9.000000e+00,-2.256891e-01,1.000000e+05,3.596544e+03,2.847149e-05,1.805680e+04,-1.910699e+04
4,4,1.200000e+01,8.991151e-01,1.000000e+05,-1.432815e+04,-1.134266e-04,1.805680e+04,-1.910699e+04
4,5,1.500000e+01,1.100922e+00,1.000000e+05,-1.754411e+04,-1.388853e-04,1.805680e+04,-1.910699e+04
4,6,1.800000e+01,1.718165e-01,1.000000e+05,-2.738039e+03,-2.167526e-05,1.805680e+04,-1.910699e+04
4,7,2.100000e+01,-9.301646e-01,1.000000e+05,1.482295e+04,1.173436e-04,1.805680e+04,-1.910699e+04
4,8,2.400000e+01,-1.068602e+00,1.000000e+05,1.702907e+04,1.348080e-04,1.805680e+04,-1.910699e+04
4,9,2.700000e+01,-9.997216e-02,1.000000e+05,1.593140e+03,1.261185e-05,1.805680e+04,-1.910699e+04
4,10,3.000000e+01,1.000000e+00,1.000000e+05,-1.593584e+04,-1.261536e-04,1.805680e+04,-1.910699e+04
