Mode,Floor / DOF,Height h [m],phi,mass,sn = Gamma*m*phi,u_coeff = Gamma*phi/omega^2,Vb_coeff = sum(sn),Mb_coeff = sum(sn*h)
1,1,3.000000e+00,9.995787e-02,1.000000e+05,1.317693e+04,4.322349e-03,8.103996e+05,1.671792e+07
1,2,6.000000e+00,2.295959e-01,1.000000e+05,3.026644e+04,9.928117e-03,8.103996e+05,1.671792e+07
1,3,9.000000e+00,3.588067e-01,1.000000e+05,4.729964e+04,1.551541e-02,8.103996e+05,1.671792e+07
1,4,1.200000e+01,4.852014e-01,1.000000e+05,6.396160e+04,2.098094e-02,8.103996e+05,1.671792e+07
1,5,1.500000e+01,6.042527e-01,1.000000e+05,7.965552e+04,2.612892e-02,8.103996e+05,1.671792e+07
1,6,1.800000e+01,7.136616e-01,1.000000e+05,9.407833e+04,3.085994e-02,8.103996e+05,1.671792e+07
1,7,2.100000e+01,8.100167e-01,1.000000e+05,1.067803e+05,3.502651e-02,8.103996e+05,1.671792e+07
1,8,2.400000e+01,8.911569e-01,1.000000e+05,1.174766e+05,3.853514e-02,8.103996e+05,1.671792e+07
1,9,2.700000e+01,9.548986e-01,1.000000e+05,1.258794e+05,4.129144e-02,8.103996e+05,1.671792e+07
1,10,3.000000e+01,1.000000e+00,1.000000e+05,1.318248e+05,4.324171e-02,8.103996e+05,1.671792e+07
2,1,3.000000e+00,-3.536804e-01,1.000000e+05,1.645272e+04,5.787650e-04,1.138332e+05,-3.519660e+05
2,2,6.000000e+00,-7.258496e-01,1.000000e+05,3.376553e+04,1.187785e-03,1.138332e+05,-3.519660e+05
2,3,9.000000e+00,-9.589634e-01,1.000000e+05,4.460966e+04,1.569254e-03,1.138332e+05,-3.519660e+05
2,4,1.200000e+01,-1.001973e+00,1.000000e+05,4.661042e+04,1.639636e-03,1.138332e+05,-3.519660e+05
2,5,1.500000e+01,-8.520106e-01,1.000000e+05,3.963436e+04,1.394236e-03,1.138332e+05,-3.519660e+05
2,6,1.800000e+01,-5.318259e-01,1.000000e+05,2.473981e+04,8.702837e-04,1.138332e+05,-3.519660e+05
2,7,2.100000e+01,-1.068282e-01,1.000000e+05,4.969499e+03,1.748143e-04,1.138332e+05,-3.519660e+05
2,8,2.400000e+01,3.457609e-01,1.000000e+05,-1.608432e+04,-5.658056e-04,1.138332e+05,-3.519660e+05
2,9,2.700000e+01,7.383250e-01,1.000000e+05,-3.434586e+04,-1.208200e-03,1.138332e+05,-3.519660e+05
2,10,3.000000e+01,1.000000e+00,1.000000e+05,-4.651863e+04,-1.636407e-03,1.138332e+05,-3.519660e+05
3,1,3.000000e+00,6.234127e-01,1.000000e+05,1.490874e+04,1.717924e-04,3.479773e+04,1.262486e+05
3,2,6.000000e+00,1.071486e+00,1.000000e+05,2.562429e+04,2.952670e-04,3.479773e+04,1.262486e+05
3,3,9.000000e+00,9.461516e-01,1.000000e+05,2.262695e+04,2.607288e-04,3.479773e+04,1.262486e+05
3,4,1.200000e+01,3.091992e-01,1.000000e+05,7.394413e+03,8.520533e-05,3.479773e+04,1.262486e+05
3,5,1.500000e+01,-4.904261e-01,1.000000e+05,-1.172840e+04,-1.351456e-04,3.479773e+04,1.262486e+05
3,6,1.800000e+01,-1.013927e+00,1.000000e+05,-2.424778e+04,-2.794055e-04,3.479773e+04,1.262486e+05
3,7,2.100000e+01,-9.829256e-01,1.000000e+05,-2.350639e+04,-2.708625e-04,3.479773e+04,1.262486e+05
3,8,2.400000e+01,-4.052977e-01,1.000000e+05,-9.692582e+03,-1.116870e-04,3.479773e+04,1.262486e+05
3,9,2.700000e+01,3.974024e-01,1.000000e+05,9.503767e+03,1.095113e-04,3.479773e+04,1.262486e+05
3,10,3.000000e+01,1.000000e+00,1.000000e+05,2.391472e+04,2.755677e-04,3.479773e+04,1.262486e+05
4,1,3.000000e+00,-9.017229e-01,1.000000e+05,1.398550e+04,8.097677e-05,1.739645e+04,-1.823977e+04
4,2,6.000000e+00,-1.104011e+00,1.000000e+05,1.712294e+04,9.914273e-05,1.739645e+04,-1.823977e+04
4,3,9.000000e+00,-1.838782e-01,1.000000e+05,2.851905e+03,1.651268e-05,1.739645e+04,-1.823977e+04
4,4,1.200000e+01,9.306136e-01,1.000000e+05,-1.443359e+04,-8.357122e-05,1.739645e+04,-1.823977e+04
4,5,1.500000e+01,1.104205e+00,1.000000e+05,-1.712595e+04,-9.916015e-05,1.739645e+04,-1.823977e+04
4,6,1.800000e+01,1.525765e-01,1.000000e+05,-2.366423e+03,-1.370171e-05,1.739645e+04,-1.823977e+04
4,7,2.100000e+01,-9.492722e-01,1.000000e+05,1.472298e+04,8.524681e-05,1.739645e+04,-1.823977e+04
4,8,2.400000e+01,-1.070761e+00,1.000000e+05,1.660724e+04,9.615680e-05,1.739645e+04,-1.823977e+04
4,9,2.700000e+01,-9.939529e-02,1.000000e+05,1.541596e+03,8.925923e-06,1.739645e+04,-1.823977e+04
4,10,3.000000e+01,1.000000e+00,1.000000e+05,-1.550975e+04,-8.980227e-05,1.739645e+04,-1.823977e+04
