Quantity,Location,ABSSUM,SRSS,CQC
Floor displacement u,Floor 1,2.912981e-02,2.276143e-02,2.280660e-02
Floor force f,Floor 1,6.476606e+05,3.744704e+05,3.811457e+05
Floor displacement u,Floor 2,6.173749e-02,5.213359e-02,5.219509e-02
Floor force f,Floor 2,9.112437e+05,5.927522e+05,5.954428e+05
Floor displacement u,Floor 3,8.491613e-02,7.773700e-02,7.777268e-02
Floor force f,Floor 3,9.152598e+05,5.550336e+05,5.544816e+05
Floor displacement u,Floor 4,1.001417e-01,9.763502e-02,9.762409e-02
Floor force f,Floor 4,7.816971e+05,5.470126e+05,5.458163e+05
Floor displacement u,Floor 5,1.197085e-01,1.102815e-01,1.102275e-01
Floor force f,Floor 5,1.204925e+06,7.637024e+05,7.595527e+05
Base shear Vb,Global,2.692868e+06,2.031283e+06,2.036226e+06
Base moment Mb,Global,2.215098e+07,2.099259e+07,2.098724e+07
